epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head,train/confmaps/eyeL,train/confmaps/eyeR,train/confmaps/neck,train/confmaps/thorax,train/confmaps/abdomen,train/confmaps/forelegR1,train/confmaps/forelegR2,train/confmaps/forelegR3,train/confmaps/forelegR4,train/confmaps/midlegR1,train/confmaps/midlegR2,train/confmaps/midlegR3,train/confmaps/midlegR4,train/confmaps/hindlegR1,train/confmaps/hindlegR2,train/confmaps/hindlegR3,train/confmaps/hindlegR4,train/confmaps/forelegL1,train/confmaps/forelegL2,train/confmaps/forelegL3,train/confmaps/forelegL4,train/confmaps/midlegL1,train/confmaps/midlegL2,train/confmaps/midlegL3,train/confmaps/midlegL4,train/confmaps/hindlegL1,train/confmaps/hindlegL2,train/confmaps/hindlegL3,train/confmaps/hindlegL4,train/confmaps/wingL,train/confmaps/wingR
14,0.001029615756124258,0.0009735450730659068,9.999999747378752e-05,40.78227996826172,1.1243267059326172,0.0006339779938571155,0.0004944194806739688,0.0004356902791187167,0.0003563244245015085,0.00029295356944203377,0.0006935708224773407,0.0003070179373025894,0.0008197680581361055,0.0009967481018975377,0.001380259171128273,0.0004726987099274993,0.0007787100039422512,0.0008320391061715782,0.0018470275681465864,0.0007333363755606115,0.0011563939042389393,0.0015429912600666285,0.001994204707443714,0.000323484797263518,0.0008190689259208739,0.0010106832487508655,0.0016351157100871205,0.0004434204602148384,0.0007602564292028546,0.000890929251909256,0.0018393428763374686,0.0008811375591903925,0.001200351514853537,0.0016427695518359542,0.002051218878477812,0.0018624626100063324,0.0018193278228864074
15,0.0009988767560571432,0.0009365484584122896,9.999999747378752e-05,39.91575241088867,1.1230683326721191,0.0005475606303662062,0.00048672655248083174,0.0004500925715547055,0.00031536081223748624,0.00027348604635335505,0.0005999405984766781,0.00032317504519596696,0.0007952976156957448,0.000984099111519754,0.0012790709733963013,0.0004555853665806353,0.0007613134803250432,0.0008172268280759454,0.0018116632709279656,0.0006393835647031665,0.0011327974498271942,0.0015312255127355456,0.001983076799660921,0.00031470617977902293,0.0007990396115928888,0.0009913119720295072,0.0015671219443902373,0.0004268381744623184,0.0007577251526527107,0.0008784199017100036,0.0017986148595809937,0.0008025231654755771,0.001184384454973042,0.0016354589024558663,0.0020483704283833504,0.0018083603354170918,0.0017641009762883186
16,0.0009687138954177499,0.0008859694353304803,9.999999747378752e-05,39.8991813659668,1.0830345153808594,0.0004749037034343928,0.0004862912173848599,0.00045795500045642257,0.00028677459340542555,0.000269482348812744,0.0005230949609540403,0.0003285403654444963,0.0007662544376216829,0.0009725430281832814,0.0011956229573115706,0.0004349056107457727,0.0007376587018370628,0.0008089841576293111,0.0017895213095471263,0.000557309715077281,0.0011120517738163471,0.0015180930495262146,0.001965748379006982,0.00030804134439677,0.0007756262202747166,0.0009650934371165931,0.00149666634388268,0.00041269042412750423,0.0007714907405897975,0.0008735832525417209,0.001718647195957601,0.000717890914529562,0.0011716560693457723,0.0016386571805924177,0.0020520787220448256,0.0017395076574757695,0.0016714808298274875
17,0.0009183241636492312,0.0008348489063791931,9.999999747378752e-05,39.56667709350586,1.1234605312347412,0.00039658721652813256,0.00048633929691277444,0.00044819695176556706,0.0002508579345885664,0.0002593302051536739,0.000456062174635008,0.0003332164778839797,0.000720435578841716,0.000962868973147124,0.0010542417876422405,0.00042086478788405657,0.0007138229557313025,0.0007958824280649424,0.0016330976504832506,0.00048328854609280825,0.00109203124884516,0.0015012080548331141,0.00195669406093657,0.00030052801594138145,0.0007617961382493377,0.0009315941133536398,0.0013161514652892947,0.0003975400177296251,0.0007782891625538468,0.0008601577137596905,0.0013999075163155794,0.0006386724417097867,0.0011550424387678504,0.0016145723639056087,0.002060654805973172,0.0016448034439235926,0.0015616369200870395
18,0.00086958147585392,0.0007968621212057769,9.999999747378752e-05,39.8968505859375,1.1184144020080566,0.0003171404532622546,0.0004880767082795501,0.0004488378472160548,0.00022251404880080372,0.000246983312536031,0.0004126624553464353,0.0003258035867474973,0.0006953866104595363,0.0009620515047572553,0.000941842794418335,0.00040525264921598136,0.0007063132943585515,0.0008006977150216699,0.0014279312454164028,0.0004374112468212843,0.001079660258255899,0.0014973737997934222,0.00193976319860667,0.0002918830723501742,0.0007427342934533954,0.0008920892723836005,0.00105714809615165,0.000386356987291947,0.0007704671588726342,0.0008369071292690933,0.0011510596377775073,0.0005443795816972852,0.0011500808177515864,0.001606332021765411,0.0020647007040679455,0.0015358534874394536,0.0014409134164452553
19,0.0008236807771027088,0.0007801293977536261,9.999999747378752e-05,39.99411392211914,1.1263082027435303,0.0002811996382661164,0.0004804972268175334,0.0004266895412001759,0.0001904760574689135,0.0002281685738125816,0.0003709681623149663,0.0002963842998724431,0.0006771986954845488,0.0009681923547759652,0.0008676076540723443,0.0003833517257589847,0.0006960772443562746,0.0007803735788911581,0.001223407918587327,0.00039537399425171316,0.001064419629983604,0.0014873780310153961,0.0019229972967877984,0.00027679713093675673,0.0007262055878527462,0.0008575923275202513,0.0008773981244303286,0.0003649971913546324,0.0007564307888969779,0.0008083690190687776,0.0009885337203741074,0.00046412739902734756,0.001130696851760149,0.0015961157623678446,0.0020542950369417667,0.0013980534859001637,0.001317409216426313
20,0.0007962634554132819,0.0007348275976255536,9.999999747378752e-05,40.507720947265625,1.1598846912384033,0.00027524781762622297,0.00047811627155169845,0.0003915897978004068,0.000167756705195643,0.00021656483295373619,0.0003376879030838609,0.00027332009631209075,0.0006612120196223259,0.0009744082344695926,0.0008361158543266356,0.00037644972326233983,0.0006947698420844972,0.0007761680753901601,0.0010798105504363775,0.00037094898289069533,0.001044024364091456,0.0014716485748067498,0.00190663430839777,0.0002752391737885773,0.0007173451012931764,0.0008357685292139649,0.0008053809287957847,0.0003486422065179795,0.0007430018158629537,0.0008017198997549713,0.0009069890365935862,0.0004077815974596888,0.001123674213886261,0.00159240304492414,0.002042600652202964,0.0012840190902352333,0.0012633925070986152
21,0.0007677098037675023,0.0007311645313166082,9.999999747378752e-05,40.243770599365234,1.1125586032867432,0.00026042378158308566,0.00047368957893922925,0.00035310687962919474,0.00015345776046160609,0.00020209007197991014,0.0003109736426267773,0.00024255996686406434,0.000641545164398849,0.0009668194688856602,0.0007784152403473854,0.00036368140717968345,0.000691085122525692,0.0007639670511707664,0.000965460785664618,0.00035421072971075773,0.0010401399340480566,0.0014686238719150424,0.0018925060285255313,0.00027365307323634624,0.0007033659494481981,0.0008120396523736417,0.0007234696531668305,0.00033854233333840966,0.0007249434129334986,0.0007850386900827289,0.0008321630302816629,0.00036855728831142187,0.0011195768602192402,0.0015878130216151476,0.0020285218488425016,0.0011662790784612298,0.0011799945496022701
22,0.0007396837463602424,0.0006980504258535802,9.999999747378752e-05,40.70072555541992,1.1349923610687256,0.0002462159318383783,0.00046756642404943705,0.00031865769415162504,0.00013474823208525777,0.00019307315233163536,0.00028505423688329756,0.00021807530720252544,0.0006204421515576541,0.000960610224865377,0.0007324470789171755,0.0003483676118776202,0.0006679748767055571,0.0007551245507784188,0.0008565950556658208,0.00033266108948737383,0.0010037885513156652,0.001439764630049467,0.0018722966779023409,0.0002685562358237803,0.0006914201658219099,0.0008003842667676508,0.0006781365955248475,0.00032353439019061625,0.0007053650915622711,0.0007707870681770146,0.00076767907012254,0.0003412507358007133,0.0011027333093807101,0.0015771490288898349,0.0020084758289158344,0.001064529176801443,0.0011164166498929262
23,0.0007228387985378504,0.000679645745549351,9.999999747378752e-05,41.011226654052734,1.1180851459503174,0.00023360754130408168,0.00046380780986510217,0.0002932325005531311,0.00012756313662976027,0.00018954688857775182,0.0002806666016113013,0.00020670387311838567,0.000607104622758925,0.0009346766746602952,0.0006939371232874691,0.000341118749929592,0.0006629563868045807,0.000752980646211654,0.0007927507977001369,0.00032599992118775845,0.0009944995399564505,0.001445774338208139,0.0018589397659525275,0.00026859462377615273,0.000682446698192507,0.0007774814730510116,0.0006374570657499135,0.0003149063268210739,0.0006914088153280318,0.0007617621449753642,0.0007281903526745737,0.00032468847348354757,0.0010901307687163353,0.0015718672657385468,0.0019982904195785522,0.0010077290935441852,0.0010700211860239506
24,0.000703989586327225,0.0006724709528498352,9.999999747378752e-05,40.8477897644043,1.1485378742218018,0.00022221523977350444,0.00044979414087720215,0.00028266385197639465,0.00012460553261917084,0.00017769495025277138,0.00027323991525918245,0.000193911197129637,0.0005976447137072682,0.0009266826673410833,0.0006605374510399997,0.0003320725227240473,0.0006362430285662413,0.0007422622293233871,0.0007420098991133273,0.0003201950457878411,0.0009713261388242245,0.001432561781257391,0.0018387630116194487,0.0002620966697577387,0.0006734596099704504,0.0007672786596231163,0.0005973532679490745,0.00030183896888047457,0.0006697262288071215,0.0007493221201002598,0.000689157925080508,0.00030873040668666363,0.0010790127562358975,0.0015594592550769448,0.001988747389987111,0.0009279321529902518,0.0010291284415870905
25,0.0006868956843391061,0.0006758667295798659,9.999999747378752e-05,40.44715881347656,1.135833740234375,0.00020540841796901077,0.00044431837159208953,0.000259506021393463,0.00011557270045159385,0.00017342540377285331,0.000251301855314523,0.00018339841335546225,0.0005973579827696085,0.0009181742207147181,0.0006273259641602635,0.00032665461185388267,0.000624713720753789,0.000733621243853122,0.000684109574649483,0.00030630500987172127,0.0009556198492646217,0.0014184343162924051,0.0018235668540000916,0.0002588632341939956,0.000674388837069273,0.0007581622921861708,0.0005695022409781814,0.0003001531003974378,0.0006557416636496782,0.000753494561649859,0.0006440585711970925,0.0003027995117008686,0.001061332761310041,0.0015450611244887114,0.001975162886083126,0.0008561041904613376,0.0009770214091986418
26,0.0006735996576026082,0.0006516115972772241,9.999999747378752e-05,39.574989318847656,1.0888147354125977,0.00020030311134178191,0.0004431293928064406,0.00025538328918628395,0.0001134522826760076,0.0001754861732479185,0.0002471336629241705,0.00017745477089192718,0.0005661863833665848,0.0008976253448054194,0.0006015782128088176,0.00032192067010328174,0.0006206167163327336,0.0007241462590172887,0.000659944664221257,0.0003030636580660939,0.000940937374252826,0.0014025496784597635,0.0018099155277013779,0.00025136262411251664,0.0006659143255092204,0.0007493095472455025,0.0005383025272749364,0.00029137017554603517,0.000642819853965193,0.0007386168581433594,0.0006300288368947804,0.00029826891841366887,0.0010502877412363887,0.001535522984340787,0.0019645225256681442,0.0007875080336816609,0.0009505255147814751
27,0.0006593866855837405,0.0006498213624581695,9.999999747378752e-05,39.69448471069336,1.1474201679229736,0.00018770209862850606,0.0004301312146708369,0.00024750165175646544,0.00010784805635921657,0.00016214420611504465,0.00022656754299532622,0.000171797422808595,0.000568305782508105,0.0008839617948979139,0.0005882506957277656,0.0003126079391222447,0.0006086000357754529,0.0007192557095550001,0.0006292861653491855,0.00028923217905685306,0.0009192450088448822,0.0013837887672707438,0.0017985365120694041,0.00024559773737564683,0.0006758244126103818,0.0007433049031533301,0.0005222182371653616,0.0002897013328038156,0.0006265561678446829,0.0007365454803220928,0.0006098715821281075,0.00029273846303112805,0.0010395084973424673,0.0015194783918559551,0.0019522210350260139,0.000726392085198313,0.0008856529020704329
28,0.0006450283108279109,0.0006179005722515285,9.999999747378752e-05,39.71485137939453,1.1626479625701904,0.00018053004168905318,0.0004292375815566629,0.0002391709276707843,0.00010376063437433913,0.00016242280253209174,0.00022141981753520668,0.00016826765204314142,0.0005530533380806446,0.0008778658229857683,0.000562104512937367,0.00030651845736429095,0.0005976160755380988,0.0007054049638099968,0.000593386881519109,0.00029436335898935795,0.0009215952595695853,0.001374016865156591,0.0017867611022666097,0.00024276491603814065,0.0006719682132825255,0.0007278747507371008,0.0004879431508015841,0.0002829314908012748,0.0006133803981356323,0.0007118426728993654,0.0005815289332531393,0.00027925969334319234,0.0010180200915783644,0.0015033172676339746,0.0019387536449357867,0.0006719196680933237,0.0008319052867591381
29,0.0006372202187776566,0.0006149502005428076,9.999999747378752e-05,39.9466552734375,1.1450400352478027,0.00017764390213415027,0.00042567637865431607,0.0002373753668507561,0.00010377120634075254,0.00016120767395477742,0.00022056711895857006,0.00016438457532785833,0.000541459652595222,0.0008718892931938171,0.0005573235102929175,0.0003051818930543959,0.0005909629398956895,0.0007076816400513053,0.0005817355704493821,0.00028303227736614645,0.0009063316974788904,0.001365689211525023,0.0017832247540354729,0.0002348591951886192,0.0006738256779499352,0.0007190293981693685,0.0004835511208511889,0.00027806448633782566,0.0006088095251470804,0.0007181903929449618,0.0005693011335097253,0.00027962177409790456,0.0010121682425960898,0.0015011595096439123,0.001925286720506847,0.0006233042222447693,0.0007787364884279668
30,0.0006286389543674886,0.0006117279408499599,9.999999747378752e-05,40.26511001586914,1.1603355407714844,0.00017529776960145682,0.0004259264678694308,0.0002458691014908254,0.00010366578499088064,0.00015861543943174183,0.00022485699446406215,0.00016666657757014036,0.0005395326879806817,0.0008650956442579627,0.0005407187854871154,0.00030673990841023624,0.0005869828164577484,0.0006972328410483897,0.0005853681359440088,0.00027751250308938324,0.000898194732144475,0.0013523424277082086,0.0017750700935721397,0.00023171730572357774,0.0006741814431734383,0.0007053299923427403,0.0004692234506364912,0.00027456629322841763,0.000597589067183435,0.0007053114823065698,0.00055148103274405,0.0002726275415625423,0.001000081654638052,0.0014897239161655307,0.0019132362212985754,0.0005822344683110714,0.0007234539370983839
31,0.0006150592234916985,0.0005937099340371788,9.999999747378752e-05,40.58815383911133,1.183661937713623,0.00016280812269542366,0.0004199080285616219,0.0002324243978364393,9.754976053955033e-05,0.0001582899858476594,0.0002070536429528147,0.00016202066035475582,0.0005190294468775392,0.0008542741998098791,0.0005188076756894588,0.00029855361208319664,0.0005758311599493027,0.0006958354497328401,0.0005512757343240082,0.00027720583602786064,0.0008820988587103784,0.001335721230134368,0.0017654621042311192,0.00022427411749958992,0.0006839315756224096,0.0006948469672352076,0.0004409967514220625,0.0002750691201072186,0.0005938370595686138,0.0006955824792385101,0.0005480096442624927,0.0002701306657399982,0.0009903018362820148,0.0014764812076464295,0.0019033962162211537,0.000528935284819454,0.0006419515120796859
32,0.0006022204179316759,0.0005869835149496794,9.999999747378752e-05,40.587303161621094,1.159282922744751,0.00016537572082597762,0.00041650529601611197,0.00023143824364524335,9.637043694965541e-05,0.00015277965576387942,0.00019593715842347592,0.00015818493557162583,0.0005062621203251183,0.0008390393923036754,0.0004955603508278728,0.0002978192933369428,0.0005681570619344711,0.0006830843049101532,0.0005336700123734772,0.00026846129912883043,0.0008781239157542586,0.0013242200948297977,0.0017619137652218342,0.00022163211542647332,0.0006844114395789802,0.000676776166073978,0.0004083797393832356,0.00026681486633606255,0.0005796314217150211,0.0006790461484342813,0.0005196189158596098,0.0002599137369543314,0.0009717874927446246,0.0014638470020145178,0.001893564942292869,0.0004931256407871842,0.0005796001059934497
33,0.0005952105857431889,0.0005740054184570909,9.999999747378752e-05,40.83122253417969,1.1264069080352783,0.00015794378123246133,0.00041005562525242567,0.00022727857867721468,9.212832810590044e-05,0.00015389022883027792,0.0001960948866326362,0.00015869639173615724,0.0005016298382543027,0.0008393821772187948,0.0004848329699598253,0.00030045423773117363,0.0005639905575662851,0.0006741677643731236,0.0005179137224331498,0.0002654056588653475,0.0008620570879429579,0.001309552462771535,0.001750933937728405,0.00021673399896826595,0.0006854516104795039,0.0006641806685365736,0.0004061446525156498,0.0002695901202969253,0.0005796035402454436,0.000667278771288693,0.0005131571087986231,0.0002646434586495161,0.0009682396776042879,0.0014617328997701406,0.0018790600588545203,0.0004641183477360755,0.0005403964896686375
