method,comparable_frames,comparable_points,mean_pixel_error,median_pixel_error,rmse_pixel_error,p95_pixel_error
DLC,150,1593,20.65606001615855,8.236751731787527,64.0734970621766,58.468392266636585
SLEAP,150,2244,14.244940238759924,3.597394128879436,53.02050635506229,47.54788906370423
