bodypart,count,mean_pixel_error,median_pixel_error,rmse_pixel_error,p95_pixel_error
head,2949,0.133548,0.000000,5.180452,0.000000
mid1,2947,0.128792,0.000000,4.881489,0.000000
mid2,2951,0.135712,0.000000,4.730879,0.000000
mid3,2951,0.142326,0.000000,4.703008,0.000000
tail,2951,0.199468,0.000000,4.892509,0.000000
