,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,10000,95,1,4.19,4.46,0.6,4.15,4.43
1,100000,95,1,2.83,3.21,0.6,2.82,3.18
