1000, 0.07269, 0.0001
2000, 0.03579, 0.0001
3000, 0.03213, 0.0001
4000, 0.02999, 0.0001
5000, 0.02800, 0.0001
6000, 0.02655, 0.0001
7000, 0.02503, 0.0001
8000, 0.02366, 5e-05
9000, 0.02218, 5e-05
10000, 0.02172, 5e-05
11000, 0.02105, 5e-05
12000, 0.02077, 5e-05
13000, 0.01925, 1e-05
14000, 0.01909, 1e-05
15000, 0.01872, 1e-05
16000, 0.01875, 1e-05
17000, 0.01881, 1e-05
18000, 0.01849, 1e-05
19000, 0.01879, 1e-05
20000, 0.01843, 1e-05
21000, 0.01855, 1e-05
22000, 0.01839, 1e-05
23000, 0.01867, 1e-05
24000, 0.01822, 1e-05
25000, 0.01800, 1e-05
26000, 0.01775, 1e-05
27000, 0.01798, 1e-05
28000, 0.01780, 1e-05
29000, 0.01778, 1e-05
30000, 0.01755, 1e-05
31000, 0.01789, 1e-05
32000, 0.01760, 1e-05
33000, 0.01745, 1e-05
34000, 0.01735, 1e-05
35000, 0.01741, 1e-05
36000, 0.01756, 1e-05
37000, 0.01714, 1e-05
38000, 0.01724, 1e-05
39000, 0.01722, 1e-05
40000, 0.01708, 1e-05
41000, 0.01732, 1e-05
42000, 0.01719, 1e-05
43000, 0.01681, 1e-05
44000, 0.01705, 1e-05
45000, 0.01682, 1e-05
46000, 0.01705, 1e-05
47000, 0.01688, 1e-05
48000, 0.01709, 1e-05
49000, 0.01679, 1e-05
50000, 0.01668, 1e-05
51000, 0.01650, 1e-05
52000, 0.01650, 1e-05
53000, 0.01657, 1e-05
54000, 0.01665, 1e-05
55000, 0.01655, 1e-05
56000, 0.01630, 1e-05
57000, 0.01644, 1e-05
58000, 0.01644, 1e-05
59000, 0.01626, 1e-05
60000, 0.01653, 1e-05
61000, 0.01663, 1e-05
62000, 0.01640, 1e-05
63000, 0.01622, 1e-05
64000, 0.01639, 1e-05
65000, 0.01622, 1e-05
66000, 0.01654, 1e-05
67000, 0.01617, 1e-05
68000, 0.01635, 1e-05
69000, 0.01561, 1e-05
70000, 0.01571, 1e-05
71000, 0.01594, 1e-05
72000, 0.01583, 1e-05
73000, 0.01630, 1e-05
74000, 0.01575, 1e-05
75000, 0.01619, 1e-05
76000, 0.01587, 1e-05
77000, 0.01579, 1e-05
78000, 0.01538, 1e-05
79000, 0.01577, 1e-05
80000, 0.01554, 1e-05
81000, 0.01561, 1e-05
82000, 0.01564, 1e-05
83000, 0.01556, 1e-05
84000, 0.01561, 1e-05
85000, 0.01560, 1e-05
86000, 0.01560, 1e-05
87000, 0.01561, 1e-05
88000, 0.01547, 1e-05
89000, 0.01532, 1e-05
90000, 0.01551, 1e-05
91000, 0.01534, 1e-05
92000, 0.01545, 1e-05
93000, 0.01549, 1e-05
94000, 0.01517, 1e-05
95000, 0.01543, 1e-05
96000, 0.01563, 1e-05
97000, 0.01507, 1e-05
98000, 0.01511, 1e-05
99000, 0.01510, 1e-05
100000, 0.01514, 1e-05
