frame_index,frame_point_count,frame_mean_pixel_error,gt_individuals,pred_individuals
71,10,9.053763583819379,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
72,10,7.554432140504791,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
73,10,8.914264619042457,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
74,10,8.803187233037978,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
75,10,9.075412669517068,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
76,10,23.909981611151228,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
77,10,7.442000814459296,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
78,10,8.118630200168388,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
79,10,8.460553634612168,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
80,10,23.753555817202045,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
81,10,22.70542317812994,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
82,10,8.249641576571877,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
83,10,6.762747494787777,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
84,10,8.84450576930298,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
85,10,10.125561076504287,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
86,10,8.353405615915017,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
87,10,7.411855564541024,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
88,10,8.221592855465982,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
89,10,9.603533316135419,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
90,10,131.8084244917626,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
91,10,8.082494944716577,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
92,10,7.6178396156632955,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
93,10,22.973312808472254,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
94,10,8.194211198299504,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
95,10,8.099451216021073,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
96,10,7.878555514374995,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
97,10,12.085642263351248,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
98,10,9.835439984454826,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
99,10,8.643475677550265,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
100,10,8.249657865741472,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
101,10,8.366394957151508,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
102,13,23.361493671785603,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
103,10,6.642332158034682,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
104,15,7.7755332329617675,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
105,10,8.13188491136653,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
106,10,8.394381385773729,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
107,10,23.18941611888256,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
108,10,8.16031757325975,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
109,10,8.59973903880098,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
110,10,6.811051162598867,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
111,10,9.479593829800901,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
112,10,8.23328442242103,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
113,10,8.973637977532334,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
114,10,6.773306396862725,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
115,10,11.337474855493472,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
116,13,22.402091485592578,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
117,15,11.78265359283855,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
118,10,8.060728226168731,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
119,14,22.004022285006496,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
120,15,97.69818279896451,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
121,14,12.967037303364444,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
122,13,21.935476547661285,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
123,15,8.510616557121534,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
