bodypart,count,mean_pixel_error,median_pixel_error,rmse_pixel_error,p95_pixel_error
head,320,21.849740,7.734411,64.344340,81.652528
mid1,317,19.167652,8.243341,62.712458,40.309157
mid2,309,19.082189,10.340323,63.729670,13.889397
mid3,323,21.613097,7.758388,64.545933,57.033062
tail,324,21.480291,7.332710,64.970953,66.673083
