epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head,train/confmaps/eyeL,train/confmaps/eyeR,train/confmaps/neck,train/confmaps/thorax,train/confmaps/abdomen,train/confmaps/forelegR1,train/confmaps/forelegR2,train/confmaps/forelegR3,train/confmaps/forelegR4,train/confmaps/midlegR1,train/confmaps/midlegR2,train/confmaps/midlegR3,train/confmaps/midlegR4,train/confmaps/hindlegR1,train/confmaps/hindlegR2,train/confmaps/hindlegR3,train/confmaps/hindlegR4,train/confmaps/forelegL1,train/confmaps/forelegL2,train/confmaps/forelegL3,train/confmaps/forelegL4,train/confmaps/midlegL1,train/confmaps/midlegL2,train/confmaps/midlegL3,train/confmaps/midlegL4,train/confmaps/hindlegL1,train/confmaps/hindlegL2,train/confmaps/hindlegL3,train/confmaps/hindlegL4,train/confmaps/wingL,train/confmaps/wingR
0,,0.012349428609013557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0.0021102845203131437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004555067978799343,0.0020599185954779387,9.999999747378752e-05,53.228816986083984,2.9128620624542236,0.006254856009036303,0.012342885136604309,0.0028366162441670895,0.0027853967621922493,0.002420279663056135,0.0030403840355575085,0.007151222322136164,0.0071250153705477715,0.006652856711298227,0.004561817739158869,0.002521409885957837,0.0032372847199440002,0.005161690525710583,0.002629639348015189,0.002608866197988391,0.002535277744755149,0.0024299034848809242,0.01016373559832573,0.0038328056689351797,0.0035880841314792633,0.004009038209915161,0.012471890076994896,0.0054480209946632385,0.002485431730747223,0.006676015444099903,0.005345513578504324,0.0023572559002786875,0.002362779574468732,0.0027296962216496468,0.0027111719828099012,0.002323287073522806,0.0029620369896292686
2,0.002081743674352765,0.0020430779550224543,9.999999747378752e-05,65.57893371582031,2.379169464111328,0.0020638832356780767,0.002095498377457261,0.0020639044232666492,0.0021407525055110455,0.001863276120275259,0.002121638273820281,0.002016365062445402,0.0020601300057023764,0.002088226843625307,0.002108883811160922,0.002019991632550955,0.0020941239781677723,0.002107137581333518,0.0021021657157689333,0.001998159335926175,0.0020857914350926876,0.0020658124703913927,0.00212470768019557,0.0022569773718714714,0.0020616815891116858,0.002122671576216817,0.00217165588401258,0.0020002350211143494,0.0020869204308837652,0.00207781745120883,0.0020996553357690573,0.0019549254793673754,0.002075325231999159,0.002101699821650982,0.0021634059958159924,0.0021005936432629824,0.0021217791363596916
3,0.0020519543904811144,0.002018777886405587,9.999999747378752e-05,57.798095703125,3.309098482131958,0.0020078287925571203,0.002031503478065133,0.0020021693781018257,0.0021393809001892805,0.0017405085964128375,0.002110407454892993,0.0019947285763919353,0.0019836612045764923,0.0020361212082207203,0.0020949402824044228,0.0020162761211395264,0.0020388683769851923,0.002035228768363595,0.0020907658617943525,0.00196749996393919,0.0021099986042827368,0.002062061335891485,0.002117138123139739,0.002256596926599741,0.00200338801369071,0.0021155732683837414,0.002150836866348982,0.0019882950000464916,0.0020181387662887573,0.0020090234465897083,0.0021050157956779003,0.0019271252676844597,0.002043206011876464,0.002087752567604184,0.0021663981024175882,0.002097107470035553,0.002115000505000353
4,0.0020213532261550426,0.001939100562594831,9.999999747378752e-05,62.57074737548828,3.399243116378784,0.0019530775025486946,0.001997860847041011,0.0019764902535825968,0.0020637039560824633,0.0015005005989223719,0.002059060614556074,0.001952992519363761,0.001964374678209424,0.0020114080980420113,0.002082943683490157,0.0019795808475464582,0.002027439186349511,0.0020205811597406864,0.0020808593835681677,0.001913248561322689,0.002105811145156622,0.002067295368760824,0.00211125030182302,0.0022155875340104103,0.0019977663177996874,0.002074379473924637,0.0021795243956148624,0.0019576072227209806,0.0019833201076835394,0.0019903441425412893,0.002119344426319003,0.0018746365094557405,0.0020358869805932045,0.0020695130806416273,0.0021579861640930176,0.002054478507488966,0.002104451647028327
5,0.0019700422417372465,0.0018905694596469402,9.999999747378752e-05,54.60791778564453,3.1749868392944336,0.0018176264129579067,0.001954231411218643,0.00191901542712003,0.0019684708677232265,0.001148182200267911,0.0019353365059942007,0.0018818802200257778,0.0019684573635458946,0.001937556080520153,0.0020679510198533535,0.0019114456372335553,0.002041329862549901,0.002010094001889229,0.0020798377227038145,0.00183676287997514,0.0020813196897506714,0.0020595830865204334,0.002117183757945895,0.0021293300669640303,0.001977289328351617,0.0019883259665220976,0.0021950742229819298,0.0019019455648958683,0.0019477367168292403,0.001985670067369938,0.0021380630787461996,0.0017987273167818785,0.0020352634601294994,0.0020476134959608316,0.0021442861761897802,0.0019774518441408873,0.0020383093506097794
6,0.001914289896376431,0.0017559878760948777,9.999999747378752e-05,55.32359313964844,2.3641371726989746,0.0016924559604376554,0.0018708516145125031,0.0018639961490407586,0.001847255160100758,0.0007639158284291625,0.0018564705969765782,0.0017945441650226712,0.0019754867535084486,0.001902062096633017,0.002059086924418807,0.0018387511372566223,0.00203324225731194,0.002001129789277911,0.0020860370714217424,0.0017011517193168402,0.002071250230073929,0.0020443820394575596,0.0021511316299438477,0.002044902415946126,0.0019060353515669703,0.001893758773803711,0.0021853384096175432,0.0018403187859803438,0.0018888150807470083,0.001965808216482401,0.0021620290353894234,0.0017247374635189772,0.002026098547503352,0.002011883072555065,0.0021306094713509083,0.0019399469019845128,0.0019837950821965933
7,0.0018369350582361221,0.0016566303092986345,9.999999747378752e-05,48.051998138427734,2.477205276489258,0.001725524547509849,0.0016111537115648389,0.0017901728861033916,0.0016215561190620065,0.0006164443911984563,0.0018132259137928486,0.0016657550586387515,0.0018557016737759113,0.0018899728311225772,0.0020735319703817368,0.0017712482949718833,0.0019717311952263117,0.0019450209802016616,0.0021255507599562407,0.001608259161002934,0.002086861990392208,0.0020515285432338715,0.0021765530109405518,0.0017506042495369911,0.0016277050599455833,0.001653417362831533,0.0021707441192120314,0.00177666952367872,0.0018175893928855658,0.001900473958812654,0.0021257398184388876,0.0016457063611596823,0.0019861790351569653,0.001984282396733761,0.002120450371876359,0.0018930536461994052,0.0019295156234875321
8,0.0017221118323504925,0.0015529636293649673,9.999999747378752e-05,48.11508560180664,2.5278494358062744,0.0016157643403857946,0.0011286557419225574,0.0014692321419715881,0.0015897236298769712,0.0005440959357656538,0.001785510452464223,0.0015003663720563054,0.0017344825901091099,0.0017308418173342943,0.002027773531153798,0.0015601617051288486,0.0018527520587667823,0.0018839207477867603,0.0021348639857023954,0.0015715791378170252,0.0020624827593564987,0.002041090512648225,0.002191751729696989,0.0011248637456446886,0.0012336545623838902,0.0013568467693403363,0.002117390977218747,0.0016209702007472515,0.0017507011070847511,0.0019139987416565418,0.0021154030691832304,0.0015996682923287153,0.0019750772044062614,0.001971960999071598,0.0021286727860569954,0.001870913663879037,0.0019024122739210725
