bodypart,count,mean_pixel_error,median_pixel_error,rmse_pixel_error,p95_pixel_error
head,448,12.654539,1.812237,53.323077,65.156802
mid1,449,10.586028,1.656833,51.827478,37.269649
mid2,449,9.265634,2.162420,51.485123,11.306140
mid3,449,14.839213,5.745692,53.067899,48.365431
tail,449,23.875746,14.241496,55.313509,58.625122
