frame_index,frame_mean_pixel_error,frame_point_count,gt_individuals,pred_individuals
62,27.26431443692644,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
63,7.7858031530597485,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
64,5.654108834435152,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
65,6.424845579271098,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
66,6.562759688584835,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
67,10.926755818863185,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
68,8.25780340881369,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
69,8.384766750532284,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
70,8.065604479922758,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
71,8.58968708276026,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
72,8.420135269357624,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
73,14.671958575048125,9,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
74,7.751739763857107,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
75,8.945405070641028,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
76,8.49013240204994,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
77,12.488900585179199,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
78,15.653939085656626,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
79,16.42748497767457,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
80,15.415013768996314,9,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
81,12.203588078914764,9,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
82,148.26994014591713,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
83,25.438643377190953,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
84,22.773212954232466,3,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
85,56.23061383754055,4,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
86,36.763409096862304,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
87,36.66456184522269,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
88,56.51072398784809,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
89,23.304487455596746,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
90,101.63169907164855,12,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
91,5.861732376031975,8,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
92,90.46786806547847,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
93,27.197004606097455,8,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
94,10.557030155331029,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
95,26.242165408582657,8,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
96,10.714120448132093,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
97,27.922838403147058,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
98,6.700917195089083,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
99,52.45929596673808,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
100,7.673082907351978,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
101,155.12830663427138,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
102,7.283291001131299,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
103,10.457558741111011,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
104,22.591260856921597,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
105,9.934898026934809,9,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
106,6.541929696661308,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
107,7.83107038117407,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
108,20.618743716699452,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
109,7.9267921552172895,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
110,22.58329024451531,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
111,7.7087444802400835,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
112,25.187852999298563,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
113,7.0345005097064846,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
114,11.921429235362053,10,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
115,4.982057955284101,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
116,6.185440109350542,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
117,7.0795011876668195,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
118,294.6393686833428,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
119,7.555008335546833,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
120,59.649338790560286,3,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
121,59.22769223433769,3,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
122,9.882612086077334,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
123,8.233843739624836,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
124,26.07874257553077,3,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
125,5.974653957070781,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
126,6.547292392357777,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
127,6.678624937051957,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
128,7.514181231485625,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
129,10.11569526465905,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
130,7.424065412187943,5,"shrimp1,shrimp2,shrimp3","ind1,ind2,ind3"
